PDFファイル,ページ番号,画像ファイル,図番号,x0_diff,y0_diff,x1_diff,y1_diff
whitepaper2023_all.pdf,103,whitepaper2023_all_page103_img0.png,【第213-2-26】,7.09323,15.99872,232.13586,148.56864
whitepaper2023_all.pdf,104,whitepaper2023_all_page104_img0.png,【第213-3-2】,2.68492,13.89670,234.61701,99.70129
whitepaper2023_all.pdf,104,whitepaper2023_all_page104_img1.png,【第213-3-2】,2.68492,112.73331,234.61701,149.07474
whitepaper2023_all.pdf,104,whitepaper2023_all_page104_img2.png,【第213-3-4】,2.17270,13.04190,238.25482,162.31924
whitepaper2023_all.pdf,105,whitepaper2023_all_page105_img0.png,【第213-3-5】,3.70030,505.57391,237.70030,519.54392
whitepaper2023_all.pdf,107,whitepaper2023_all_page107_img0.png,【第214-1-6】,32.71630,32.60138,47.56501,76.48093
whitepaper2023_all.pdf,107,whitepaper2023_all_page107_img1.png,【第214-1-6】,56.04203,87.98993,47.32454,76.24044
whitepaper2023_all.pdf,107,whitepaper2023_all_page107_img2.png,【第214-1-7】,-81.58408,11.52008,-88.57819,138.02518
whitepaper2023_all.pdf,113,whitepaper2023_all_page113_img0.png,【第214-3-1】,-16.85553,-1.42239,242.40348,99.33360
whitepaper2023_all.pdf,113,whitepaper2023_all_page113_img1.png,【第214-3-2】,-16.85553,-83.63437,242.40348,-39.82144
whitepaper2023_all.pdf,115,whitepaper2023_all_page115_img0.png,【第221-1-2】,-261.97681,1.57391,-27.97681,15.54393
whitepaper2023_all.pdf,115,whitepaper2023_all_page115_img1.png,【第221-1-2】,-258.97681,-148.42609,241.02319,-43.45607
whitepaper2023_all.pdf,115,whitepaper2023_all_page115_img2.png,【第221-1-2】,2.23419,24.91486,152.47382,13.59215
whitepaper2023_all.pdf,117,whitepaper2023_all_page117_img0.png,【第221-1-5】,-249.13840,435.57391,-15.13840,449.54392
whitepaper2023_all.pdf,118,whitepaper2023_all_page118_img0.png,【第222-1-1】,126.39730,34.91095,194.41970,99.90134
whitepaper2023_all.pdf,118,whitepaper2023_all_page118_img1.png,【第222-1-1】,31.12070,34.32294,24.93032,25.10055
whitepaper2023_all.pdf,118,whitepaper2023_all_page118_img2.png,【第222-1-1】,31.12070,34.32294,24.93032,25.10055
